InnerRadius,Length,Quadratic,Linear,InnerRadius2,Length2,Quadratic2,Linear2,Generation,Fitness
5.944570,58.8032,0.005335,-0.333342,4.622280,38.476,0.011635,-0.459455,0,4.91167
3.881290,103.248,0.001538,-0.149041,2.661990,53.1954,-0.002611,0.11264,0,5.0305599999999995
1.865780,43.8749,0.005345,-0.157953,2.819540,61.6883,0.003677,-0.203497,0,5.34017
1.411130,42.0881,-0.004986,0.206578,1.652520,66.6077,0.0015429999999999999,-0.065471,0,5.40137
1.491940,53.3037,-0.002366,0.22652399999999998,5.108270,47.1854,0.002493,-0.09568600000000001,0,4.92972
2.264500,87.4841,-0.001422,0.100874,1.872670,78.2022,0.000354,-0.043452,0,4.98744
0.738236,53.9457,-0.001537,0.168121,3.458040,40.0075,0.003676,-0.20980500000000002,0,5.12049
6.916520,68.8508,0.004502,-0.326922,6.811230,78.0939,-0.000595,0.004263,0,5.18576
1.968920,37.7875,-0.005458,0.26669499999999996,2.893930,56.97,-0.001302,0.120297,0,5.3669
0.482933,38.6848,0.0013109999999999999,0.027481000000000002,2.025650,54.5258,0.0008320000000000001,-0.016822,0,5.12459
4.093140,68.2939,0.000357,-0.0026920000000000004,3.606190,40.5721,0.004986,-0.195105,0,5.15455
5.958350,43.8671,-0.004873,0.098087,0.693142,46.9611,-0.004145,0.33223600000000003,0,5.06083
4.024810,52.6772,0.005220000000000001,-0.26919499999999996,3.666430,38.1356,-0.003088,0.09811,0,5.21039
3.914160,58.107,-0.000594,0.010086,6.874930,43.8207,0.0014199999999999998,-0.14226,0,5.270580000000001
0.399468,52.6926,-0.001422,0.097979,2.186240,38.9787,0.009741,-0.283195,0,5.23803
4.984660,47.0926,-0.005582999999999999,0.16385999999999998,6.773270,69.4309,0.001064,-0.112903,0,5.61643
3.665130,50.7512,0.004156,-0.154108,3.986330,63.2121,0.003438,-0.213196,0,5.23027
3.235840,49.9854,-0.005693999999999999,0.293796,4.320640,43.9986,0.003675,-0.22807199999999997,0,5.33156
3.296150,70.1348,0.000949,-0.047895,6.096780,70.7381,0.002841,-0.258279,0,5.25368
4.905740,66.1204,-0.001186,0.062190999999999996,0.235354,63.5911,-0.000589,0.10581800000000001,0,4.94687
