The Ohio State University GENETIS Data.
Current generation's vEff scores:
4.58401
4.7336
4.45026
4.87925
4.43313
4.54114
4.17822
4.41319
4.74144
4.60942
4.59926
4.63315
4.72802
4.43279
4.60237
4.51466
4.57563
4.25716
4.57765
4.35022
4.32711
3.94933
4.84364
4.64375
4.48206
4.57806
4.76711
4.59815
4.72155
3.92018
4.58702
4.62437
4.04194
4.88082
4.5995
4.84641
4.51265
4.43823
4.67687
4.30384
3.35521
3.65353
4.59614
4.63945
4.52464
3.53064
4.34354
4.579
4.48567
4.6101
